field_1,Beheertype,Ned_naam_NDFF,Wet_naam_NDFF_oud,Wet_naam_NDFF_nieuw,ndff_taxon_uri_oud,ndff_taxon_uri_nieuw,Gewijzigd,Unnamed: 0,ned_naam,wet_naam,identity,group_identity,ned_soortgroep,wet_soortgroep
"0",N01.02,Armbloemige waterbies,Eleocharis quinqueflora,Eleocharis quinqueflora,http://ndff-ecogrid.nl/taxonomy/taxa/eleocharisquinqueflora,http://ndff-ecogrid.nl/taxonomy/taxa/eleocharisquinqueflora,NEE,"28035.0",Armbloemige waterbies,Eleocharis quinqueflora,http://ndff-ecogrid.nl/taxonomy/taxa/eleocharisquinqueflora,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"1",N01.02,Bergeend,Tadorna tadorna,Tadorna tadorna,http://ndff-ecogrid.nl/taxonomy/taxa/tadornatadorna,http://ndff-ecogrid.nl/taxonomy/taxa/tadornatadorna,NEE,"78806.0",Bergeend,Tadorna tadorna,http://ndff-ecogrid.nl/taxonomy/taxa/tadornatadorna,http://ndff-ecogrid.nl/categories/specieslist/aves,vogels,aves
"2",N01.02,Blauwborst,Luscinia svecica,Luscinia svecica,http://ndff-ecogrid.nl/taxonomy/taxa/lusciniasvecica,http://ndff-ecogrid.nl/taxonomy/taxa/lusciniasvecica,NEE,"46627.0",Blauwborst,Luscinia svecica,http://ndff-ecogrid.nl/taxonomy/taxa/lusciniasvecica,http://ndff-ecogrid.nl/categories/specieslist/aves,vogels,aves
"3",N01.02,Blauwe Kiekendief,Circus cyaneus,Circus cyaneus,http://ndff-ecogrid.nl/taxonomy/taxa/circuscyaneus,http://ndff-ecogrid.nl/taxonomy/taxa/circuscyaneus,NEE,"17325.0",Blauwe kiekendief,Circus cyaneus,http://ndff-ecogrid.nl/taxonomy/taxa/circuscyaneus,http://ndff-ecogrid.nl/categories/specieslist/aves,vogels,aves
"4",N01.02,Blauwe zeedistel,Eryngium maritimum,Eryngium maritimum,http://ndff-ecogrid.nl/taxonomy/taxa/eryngiummaritimum,http://ndff-ecogrid.nl/taxonomy/taxa/eryngiummaritimum,NEE,"30201.0",Blauwe zeedistel,Eryngium maritimum,http://ndff-ecogrid.nl/taxonomy/taxa/eryngiummaritimum,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"5",N01.02,Bontbekplevier,Charadrius hiaticula,Charadrius hiaticula,http://ndff-ecogrid.nl/taxonomy/taxa/charadriushiaticula,http://ndff-ecogrid.nl/taxonomy/taxa/charadriushiaticula,NEE,"15590.0",Bontbekplevier,Charadrius hiaticula,http://ndff-ecogrid.nl/taxonomy/taxa/charadriushiaticula,http://ndff-ecogrid.nl/categories/specieslist/aves,vogels,aves
"6",N01.02,Boomleeuwerik,Lullula arborea,Lullula arborea,http://ndff-ecogrid.nl/taxonomy/taxa/lullulaarborea,http://ndff-ecogrid.nl/taxonomy/taxa/lullulaarborea,NEE,"46560.0",Boomleeuwerik,Lullula arborea,http://ndff-ecogrid.nl/taxonomy/taxa/lullulaarborea,http://ndff-ecogrid.nl/categories/specieslist/aves,vogels,aves
"7",N01.02,Braamsluiper,Sylvia curruca,Sylvia curruca,http://ndff-ecogrid.nl/taxonomy/taxa/sylviacurruca,http://ndff-ecogrid.nl/taxonomy/taxa/sylviacurruca,NEE,"78055.0",Braamsluiper,Sylvia curruca,http://ndff-ecogrid.nl/taxonomy/taxa/sylviacurruca,http://ndff-ecogrid.nl/categories/specieslist/aves,vogels,aves
"8",N01.02,Brakwater kransblad,Chara canescens,Chara canescens,http://ndff-ecogrid.nl/taxonomy/taxa/characanescens,http://ndff-ecogrid.nl/taxonomy/taxa/characanescens,NEE,"15538.0",Brakwaterkransblad,Chara canescens,http://ndff-ecogrid.nl/taxonomy/taxa/characanescens,http://ndff-ecogrid.nl/categories/specieslist/charales,kranswieren,charales
"9",N01.02,Brokkelig kransblad,Chara contraria,Chara contraria,http://ndff-ecogrid.nl/taxonomy/taxa/characontraria,http://ndff-ecogrid.nl/taxonomy/taxa/characontraria,NEE,"15540.0",Brokkelig kransblad,Chara contraria,http://ndff-ecogrid.nl/taxonomy/taxa/characontraria,http://ndff-ecogrid.nl/categories/specieslist/charales,kranswieren,charales
